Unnamed: 0,id,name,album,artist,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood,happy,sad,angry,happiness,sadness,anger,disgust,surprise,fear
15,3nSBqN1Ml2s14g9UdHAoxA,"Symphony No. 9 Op. 95 ""New World Symphony"" IV. Allegro Con Fuoco",Memories of Prague: Dvořák: Serenade For Strings / Smetana: Die Moldau,The City of Prague Philharmonic Orchestra,2009-08-18,45,676544,0.226,0.908,0.238,0.942,0.0957,0.103,-12.339,0.0324,138.123,4,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
16,5X6dxHyKrguHpYhe4AI7cj,"Salut d'Amour, Op.12","Salut d'Amour, Op.12",Edward Elgar,2024-10-09,37,205125,0.17,0.653,0.304,0.907,0.109,0.0456,-12.629,0.0358,134.156,4,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
17,70EAyoNV7Coaw5ACubFL3F,Gymnopédie No.1,Gymnopédie No.1,Erik Satie,2024-02-09,55,200031,0.0624,0.845,0.189,0.868,0.0966,0.0501,-17.085,0.0462,62.219,7,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
18,1ParFlOM2MXGhpIXC71l9V,O rubor sanguinis,O rubor sanguinis,Hildegard von Bingen,2024-08-22,41,100356,0.205,0.948,0.175,1.54e-06,0.123,0.0803,-13.839,0.0407,71.838,7,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
19,2vx4Vn7sMvwkllWnoT1PXo,Gnossienne: No. 1,Autumn’s Gaze,Andrés Madariaga,2023-11-10,38,208042,0.515,0.993,0.018,0.964,0.106,0.0806,-27.996,0.0521,96.126,5,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
20,51UP9zgTckoB2M526whpMd,Anhelo,Polaris,José Salinas,2024-09-20,14,199567,0.372,0.991,0.0478,0.927,0.0846,0.0438,-25.747,0.0338,82.815,7,3,0,0,0,0,0.056754279881715775,0.025691978633403778,0.11897829920053482,0.02134300395846367,0.6248401999473572,0.016014762222766876
21,7AO4qERV9ib2H9SR4Y1hbt,Carmen: Overture,Epic Orchestra,The City of Prague Philharmonic Orchestra,2010-01-18,42,133461,0.258,0.675,0.476,0.904,0.0924,0.507,-10.006,0.0413,131.008,4,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
22,3gtQ9EUJfwIUW0IWZJrB1d,"Concerto No. 2 in G Minor, Op. 8, RV 315, “L’estate” (Summer): III. Presto",Vivaldi: The Four Seasons,Antonio Vivaldi,2009-07-01,44,166645,0.265,0.92,0.451,0.826,0.0951,0.5,-11.309,0.0336,145.711,7,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
23,3z0f4Cx7vad4HVaVwxcKQa,"Peer Gynt Suite No. 1, Op. 46: II. The Death Of Aase",Mythical Horizons,The City of Prague Philharmonic Orchestra,2023-06-29,33,247015,0.0625,0.724,0.12,0.312,0.13,0.0376,-17.702,0.0419,44.109,11,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
24,3nSBqN1Ml2s14g9UdHAoxA,"Symphony No. 9 Op. 95 ""New World Symphony"" IV. Allegro Con Fuoco",Memories of Prague: Dvořák: Serenade For Strings / Smetana: Die Moldau,The City of Prague Philharmonic Orchestra,2009-08-18,45,676544,0.226,0.908,0.238,0.942,0.0957,0.103,-12.339,0.0324,138.123,4,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
