Unnamed: 0,id,name,album,artist,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood,trust,fear,negative,sadness,anger,surprise,positive,disgust,joy,anticipation
255,3pU3mRumn5rWii1rKNu1eV,Bulletproof,La Roux,La Roux,2009,2,205733,0.674,0.000441,0.882,6.47e-05,0.068,0.682,-2.771,0.0477,123.016,3,4,angry,0.04938271604938271,0.037037037037037035,0.06172839506172839,0.024691358024691357,0.024691358024691357,0.012345679012345678,0.35802469135802467,0.012345679012345678,0.19753086419753085,0.2222222222222222
256,2a1MrtxYybqFV1Ow8VJ1dW,I Will Survive - Rerecorded,I Will Survive (Rerecorded),Gloria Gaynor,1982-01-01,52,250887,0.672,0.00314,0.751,0.0,0.0796,0.57,-7.977,0.05,120.044,9,4,angry,0.06976744186046512,0.08139534883720931,0.1744186046511628,0.10465116279069768,0.03488372093023256,0.03488372093023256,0.26744186046511625,0.011627906976744186,0.12790697674418605,0.09302325581395349
257,3YmgsYX80v0EtBZekgcB6w,BOYSHIT,BOYSHIT,Madison Beer,2020-12-11,48,160397,0.638,0.0203,0.699,0.0,0.0879,0.57,-6.542,0.0892,121.122,1,4,angry,0.0410958904109589,0.0821917808219178,0.2876712328767123,0.0547945205479452,0.1506849315068493,0.0,0.0958904109589041,0.2054794520547945,0.0273972602739726,0.0547945205479452
258,01BC4Xj5tfsfV8DLDrma7q,Ciao Adios,Speak Your Mind (Deluxe),Anne-Marie,2018-04-27,62,199773,0.694,0.136,0.853,0.0,0.322,0.501,-3.986,0.0934,106.098,7,4,angry,0.10218978102189781,0.06569343065693431,0.08029197080291971,0.072992700729927,0.06569343065693431,0.08759124087591241,0.18248175182481752,0.051094890510948905,0.13138686131386862,0.16058394160583941
259,3U3BXlwNTkCx7lW9m1H9RY,Hard out Here,Hard out Here,Lily Allen,2013-11-17,50,211377,0.823,0.113,0.822,4.57e-05,0.0688,0.938,-5.323,0.0334,125.026,1,4,angry,0.06103286384976526,0.07042253521126761,0.107981220657277,0.06103286384976526,0.056338028169014086,0.028169014084507043,0.26291079812206575,0.046948356807511735,0.215962441314554,0.0892018779342723
260,71vsEyBd4X1D5BUmLdFSVH,Black Widow,The New Classic,Iggy Azalea,2014-01-01,65,209423,0.74,0.188,0.72,0.000386,0.109,0.512,-3.753,0.158,164.014,3,4,angry,0.08227848101265822,0.0759493670886076,0.17088607594936708,0.1518987341772152,0.056962025316455694,0.0,0.20253164556962025,0.05063291139240506,0.17088607594936708,0.0379746835443038
261,1Bx0zEdVjkFlV27iKaePug,Man Down,Loud,Rihanna,2010-11-16,69,267000,0.47,0.0436,0.904,0.0,0.0491,0.557,-4.024,0.177,155.789,0,4,angry,0.027777777777777776,0.14814814814814814,0.2222222222222222,0.12962962962962962,0.16666666666666666,0.08333333333333333,0.10185185185185185,0.07407407407407407,0.0,0.046296296296296294
262,2Mpj1Ul5OFPyyP4wB62Rvi,Survivor,Survivor,Destiny's Child,2001-05-01,67,254026,0.514,0.0559,0.911,0.0,0.775,0.619,-2.027,0.41,161.109,1,4,angry,0.0625,0.07291666666666667,0.10416666666666667,0.07291666666666667,0.041666666666666664,0.03125,0.25,0.020833333333333332,0.09375,0.25
263,4y1LsJpmMti1PfRQV9AWWe,Girls Just Want to Have Fun,She's So Unusual,Cyndi Lauper,1983-10-14,81,238266,0.71,0.22,0.799,0.000602,0.349,0.725,-4.897,0.0328,120.372,6,4,angry,0.015384615384615385,0.19487179487179487,0.19487179487179487,0.19487179487179487,0.0,0.005128205128205128,0.15384615384615385,0.0,0.12307692307692308,0.11794871794871795
264,4i55R0S2I64mhS5biNbECZ,Me & My Girls,Revival (Deluxe),Selena Gomez,2015-10-09,51,210506,0.637,0.0152,0.947,0.0,0.0595,0.348,-3.982,0.152,121.993,2,4,angry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265,6JqpFboOH2bq9pzaYbkKBn,R.I.P. (feat. Rita Ora & Anitta),R.I.P. (feat. Rita Ora & Anitta),Sofía Reyes,2019-03-15,52,187200,0.764,0.18,0.752,0.0,0.0701,0.698,-3.713,0.0711,100.066,8,4,angry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
266,3KliPMvk1EvFZu9cvkj8p1,Work Bitch,Britney Jean (Deluxe Version),Britney Spears,2013-11-30,67,247960,0.629,0.155,0.824,0.000628,0.0651,0.852,-6.53,0.159,128.01,9,4,angry,0.03067484662576687,0.17791411042944785,0.17791411042944785,0.15337423312883436,0.1656441717791411,0.024539877300613498,0.08588957055214724,0.12883435582822086,0.018404907975460124,0.03680981595092025
267,1eYTh99yjJtpiJT94ThYpq,Stop in the Name of Love,I Will Survive,Gloria Gaynor,1981,25,250266,0.824,0.0484,0.636,0.0,0.0928,0.615,-10.572,0.12,118.25,11,4,angry,0.06666666666666667,0.03333333333333333,0.06666666666666667,0.05555555555555555,0.022222222222222223,0.15555555555555556,0.25555555555555554,0.0,0.2222222222222222,0.12222222222222222
268,5RhFmJifQe83FpQ6ZFFTZ5,"I am not a woman, I'm a god","If I Can’t Have Love, I Want Power",Halsey,2021-08-27,54,176413,0.523,0.00397,0.702,0.0325,0.063,0.494,-6.74,0.0462,179.992,6,4,angry,0.058394160583941604,0.21897810218978103,0.24817518248175183,0.18248175182481752,0.06569343065693431,0.014598540145985401,0.072992700729927,0.0072992700729927005,0.072992700729927,0.058394160583941604
269,2wjTTRCmCeaNrpFG4YVsFy,É Por Isso Que Sofre,É Por Isso Que Sofre,Dj Batata,2021-11-19,42,164307,0.921,0.382,0.889,0.00138,0.0801,0.769,-5.152,0.0955,130.042,1,4,angry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270,5eqiMMbaeUZ32Q7sS00H35,Anaconda,The Pinkprint (International Deluxe Explicit),Nicki Minaj,2014-12-12,65,260239,0.964,0.0668,0.605,7.78e-06,0.214,0.646,-6.223,0.179,129.996,9,4,angry,0.06153846153846154,0.13333333333333333,0.3333333333333333,0.08205128205128205,0.08205128205128205,0.020512820512820513,0.08717948717948718,0.13333333333333333,0.035897435897435895,0.03076923076923077
271,1yCrrZwlYPS3AqQHsJvFlu,You're Not Harry Styles,You're Not Harry Styles,Dylan,2021-11-26,0,176530,0.553,0.00681,0.767,2.95e-06,0.0903,0.669,-4.557,0.0741,165.059,6,4,angry,0.12612612612612611,0.07207207207207207,0.16216216216216217,0.09009009009009009,0.14414414414414414,0.02702702702702703,0.13513513513513514,0.05405405405405406,0.09009009009009009,0.0990990990990991
272,6tsOcBnaKgzK22yEiqRh8P,MONOPOLY (with Victoria Monét),MONOPOLY,Ariana Grande,2019-04-01,58,158586,0.893,0.702,0.507,3.14e-05,0.109,0.695,-8.282,0.378,143.969,0,4,angry,0.1348314606741573,0.07865168539325842,0.1348314606741573,0.06741573033707865,0.14606741573033707,0.056179775280898875,0.19101123595505617,0.0898876404494382,0.06741573033707865,0.033707865168539325
273,5HwnezK198pJCEj1l2Adjy,She Loves Control,Camila,Camila Cabello,2018-01-12,54,177160,0.65,0.166,0.758,0.0,0.0889,0.663,-4.02,0.116,94.9,2,4,angry,0.03125,0.1875,0.21875,0.15625,0.03125,0.0625,0.125,0.0,0.09375,0.09375
274,480o64VmNvWcwzCg74VUxW,Tremendo Vacilão,Eu Só Quero Ser Livre,Perlla,2006-05-15,52,224026,0.866,0.0688,0.861,0.0166,0.065,0.953,-3.77,0.042,129.005,4,4,angry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
